,age,occupation,marital,education,housing_loan,personal_loan,contact,month,day,duration,contact_freq,days_passed,contact_bef,prev_outcome,emp_var_rate,cpi_index,cci_index,e3m,employees,subscription,prev_part
0,56,housemaid,married,basic.4y,no,no,telephone,may,mon,261.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
2,37,services,married,high.school,yes,no,telephone,may,mon,226.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
3,40,admin.,married,basic.6y,no,no,telephone,may,mon,151.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
4,56,services,married,high.school,no,yes,telephone,may,mon,307.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
6,59,admin.,married,professional.course,no,no,telephone,may,mon,139.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
8,24,technician,single,professional.course,yes,no,telephone,may,mon,380.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
9,25,services,single,high.school,yes,no,telephone,may,mon,50.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
11,25,services,single,high.school,yes,no,telephone,may,mon,222.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
12,29,blue-collar,single,high.school,no,yes,telephone,may,mon,137.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
13,57,housemaid,divorced,basic.4y,yes,no,telephone,may,mon,293.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
14,35,blue-collar,married,basic.6y,yes,no,telephone,may,mon,146.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
16,35,blue-collar,married,basic.6y,yes,no,telephone,may,mon,312.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
18,50,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,353.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
20,30,unemployed,married,high.school,no,no,telephone,may,mon,38.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
22,55,retired,single,high.school,yes,no,telephone,may,mon,342.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
23,41,technician,single,high.school,yes,no,telephone,may,mon,181.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
24,37,admin.,married,high.school,yes,no,telephone,may,mon,172.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
25,35,technician,married,university.degree,no,yes,telephone,may,mon,99.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
34,54,blue-collar,divorced,basic.4y,no,no,telephone,may,mon,208.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
36,34,services,married,high.school,no,no,telephone,may,mon,365.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
37,52,technician,married,basic.9y,yes,no,telephone,may,mon,1666.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
38,41,admin.,married,university.degree,yes,no,telephone,may,mon,577.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
39,56,technician,married,basic.4y,yes,no,telephone,may,mon,137.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
41,32,entrepreneur,married,high.school,yes,no,telephone,may,mon,314.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
42,38,admin.,single,professional.course,no,no,telephone,may,mon,160.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
43,57,admin.,married,university.degree,no,yes,telephone,may,mon,212.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
46,57,admin.,married,university.degree,yes,yes,telephone,may,mon,616.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
47,40,blue-collar,married,basic.9y,no,yes,telephone,may,mon,178.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
48,35,admin.,married,university.degree,yes,no,telephone,may,mon,355.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
49,45,blue-collar,married,basic.9y,yes,no,telephone,may,mon,225.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0
